Category,Sub0Category,Product_name,Territory,Sale_date,ListPrice,Quantity,Sales_amount,Region,Sales_year
components,Headsets,ML Headset,United Kingdom,2011-11-30 00:00:00,102.29,3,306.87,Europe,2012
components,Mountain Frames,"ML Mountain Frame 0 Black, 40",United Kingdom,2011-11-30 00:00:00,348.76,3,1046.28,Europe,2012
components,Mountain Frames,"ML Mountain Frame 0 Black, 44",United Kingdom,2011-11-30 00:00:00,348.76,4,1395.04,Europe,2012
components,Mountain Frames,"ML Mountain Frame 0 Black, 48",United Kingdom,2011-11-30 00:00:00,348.76,4,1395.04,Europe,2012
components,Mountain Frames,"ML Mountain Frame 0 Black, 48",United Kingdom,2011-11-30 00:00:00,348.76,3,1046.28,Europe,2012
components,Handlebars,ML Mountain Handlebars,United Kingdom,2011-11-30 00:00:00,56.29,4,225.16,Europe,2012
components,Handlebars,ML Mountain Handlebars,United Kingdom,2011-11-30 00:00:00,56.29,1,56.29,Europe,2012
components,Wheels,ML Mountain Rear Wheel,United Kingdom,2011-11-30 00:00:00,236.02,3,708.06,Europe,2012
bikes,Mountain Bikes,"Mountain0200 Black, 38",United Kingdom,2011-11-30 00:00:00,2049.1,5,10245.5,Europe,2012
bikes,Mountain Bikes,"Mountain0200 Black, 38",United Kingdom,2011-11-30 00:00:00,2049.1,3,6147.3,Europe,2012
bikes,Mountain Bikes,"Mountain0200 Black, 42",United Kingdom,2011-11-30 00:00:00,2049.1,2,4098.2,Europe,2012
bikes,Mountain Bikes,"Mountain0200 Black, 42",United Kingdom,2011-11-30 00:00:00,2049.1,6,12294.6,Europe,2012
bikes,Mountain Bikes,"Mountain0200 Black, 46",United Kingdom,2011-11-30 00:00:00,2049.1,3,6147.3,Europe,2012
bikes,Mountain Bikes,"Mountain0200 Silver, 38",United Kingdom,2011-11-30 00:00:00,2071.42,6,12428.52,Europe,2012
bikes,Mountain Bikes,"Mountain0200 Silver, 38",United Kingdom,2011-11-30 00:00:00,2071.42,2,4142.84,Europe,2012
bikes,Mountain Bikes,"Mountain0200 Silver, 42",United Kingdom,2011-11-30 00:00:00,2071.42,2,4142.84,Europe,2012
bikes,Mountain Bikes,"Mountain0200 Silver, 46",United Kingdom,2011-11-30 00:00:00,2071.42,4,8285.68,Europe,2012
bikes,Mountain Bikes,"Mountain0200 Silver, 46",United Kingdom,2011-11-30 00:00:00,2071.42,2,4142.84,Europe,2012
bikes,Mountain Bikes,"Mountain0300 Black, 38",United Kingdom,2011-11-30 00:00:00,1079.99,2,2159.98,Europe,2012
bikes,Mountain Bikes,"Mountain0300 Black, 40",United Kingdom,2011-11-30 00:00:00,1079.99,6,6479.94,Europe,2012
bikes,Mountain Bikes,"Mountain0300 Black, 44",United Kingdom,2011-11-30 00:00:00,1079.99,3,3239.97,Europe,2012
bikes,Mountain Bikes,"Mountain0300 Black, 48",United Kingdom,2011-11-30 00:00:00,1079.99,3,3239.97,Europe,2012
accessories,Helmets,"Sport0100 Helmet, Black",United Kingdom,2011-11-30 00:00:00,33.64,2,67.28,Europe,2012
accessories,Helmets,"Sport0100 Helmet, Blue",United Kingdom,2011-11-30 00:00:00,33.64,10,336.4,Europe,2012
accessories,Helmets,"Sport0100 Helmet, Red",United Kingdom,2011-11-30 00:00:00,33.64,7,235.48,Europe,2012
clothing,Tights,"Women's Tights, L",United Kingdom,2011-11-30 00:00:00,74.99,13,974.87,Europe,2012
clothing,Tights,"Women's Tights, M",United Kingdom,2011-11-30 00:00:00,74.99,2,149.98,Europe,2012
clothing,Tights,"Women's Tights, S",United Kingdom,2011-11-30 00:00:00,74.99,13,974.87,Europe,2012
clothing,Caps,AWC Logo Cap,United Kingdom,2011-11-30 00:00:00,8.64,2,17.28,Europe,2012
clothing,Gloves,"Full0Finger Gloves, L",France,2011-11-30 00:00:00,37.99,3,113.97,Europe,2012
clothing,Gloves,"Full0Finger Gloves, S",France,2011-11-30 00:00:00,37.99,1,37.99,Europe,2012
components,Wheels,LL Road Rear Wheel,United Kingdom,2011-11-30 00:00:00,112.57,1,112.57,Europe,2012
clothing,Jerseys,"Long0Sleeve Logo Jersey, L",United Kingdom,2011-11-30 00:00:00,48.07,2,96.14,Europe,2012
components,Road Frames,"ML Road Frame0W 0 Yellow, 44",United Kingdom,2011-11-30 00:00:00,540.75,1,540.75,Europe,2012
bikes,Mountain Bikes,"Mountain0200 Black, 38",France,2011-11-30 00:00:00,2049.1,3,6147.3,Europe,2012
bikes,Mountain Bikes,"Mountain0200 Black, 42",France,2011-11-30 00:00:00,2049.1,2,4098.2,Europe,2012
bikes,Mountain Bikes,"Mountain0200 Silver, 42",France,2011-11-30 00:00:00,2071.42,2,4142.84,Europe,2012
bikes,Road Bikes,"Road0650 Black, 52",United Kingdom,2011-11-30 00:00:00,782.99,1,782.99,Europe,2012
bikes,Road Bikes,"Road0650 Black, 58",United Kingdom,2011-11-30 00:00:00,782.99,1,782.99,Europe,2012
bikes,Road Bikes,"Road0650 Red, 44",United Kingdom,2011-11-30 00:00:00,782.99,1,782.99,Europe,2012
bikes,Road Bikes,"Road0650 Red, 60",United Kingdom,2011-11-30 00:00:00,782.99,4,3131.96,Europe,2012
accessories,Helmets,"Sport0100 Helmet, Blue",United Kingdom,2011-11-30 00:00:00,33.64,2,67.28,Europe,2012
clothing,Tights,"Women's Tights, L",United Kingdom,2011-11-30 00:00:00,74.99,2,149.98,Europe,2012
clothing,Tights,"Women's Tights, S",United Kingdom,2011-11-30 00:00:00,74.99,1,74.99,Europe,2012
clothing,Gloves,"Full0Finger Gloves, L",France,2011-12-31 00:00:00,37.99,2,75.98,Europe,2012
clothing,Gloves,"Full0Finger Gloves, M",France,2011-12-31 00:00:00,37.99,3,113.97,Europe,2012
components,Headsets,HL Headset,France,2011-12-31 00:00:00,124.73,5,623.65,Europe,2012
components,Mountain Frames,"HL Mountain Frame 0 Black, 38",France,2011-12-31 00:00:00,1226.91,3,3680.73,Europe,2012
components,Mountain Frames,"HL Mountain Frame 0 Black, 42",France,2011-12-31 00:00:00,1226.91,1,1226.91,Europe,2012
components,Mountain Frames,"HL Mountain Frame 0 Silver, 46",France,2011-12-31 00:00:00,1240.45,2,2480.9,Europe,2012
clothing,Jerseys,"Long0Sleeve Logo Jersey, XL",France,2011-12-31 00:00:00,48.07,6,288.42,Europe,2012
clothing,Bib0Shorts,"Men's Bib0Shorts, S",France,2011-12-31 00:00:00,89.99,2,179.98,Europe,2012
clothing,Shorts,"Men's Sports Shorts, S",France,2011-12-31 00:00:00,59.99,4,239.96,Europe,2012
components,Mountain Frames,"ML Mountain Frame 0 Black, 38",France,2011-12-31 00:00:00,348.76,2,697.52,Europe,2012
bikes,Mountain Bikes,"Mountain0200 Black, 38",France,2011-12-31 00:00:00,2049.1,2,4098.2,Europe,2012
bikes,Mountain Bikes,"Mountain0200 Black, 42",France,2011-12-31 00:00:00,2049.1,1,2049.1,Europe,2012
bikes,Mountain Bikes,"Mountain0200 Black, 42",France,2011-12-31 00:00:00,2049.1,2,4098.2,Europe,2012
bikes,Mountain Bikes,"Mountain0200 Black, 46",France,2011-12-31 00:00:00,2049.1,2,4098.2,Europe,2012
bikes,Mountain Bikes,"Mountain0200 Silver, 38",France,2011-12-31 00:00:00,2071.42,2,4142.84,Europe,2012
bikes,Mountain Bikes,"Mountain0200 Silver, 42",France,2011-12-31 00:00:00,2071.42,2,4142.84,Europe,2012
bikes,Mountain Bikes,"Mountain0200 Silver, 46",France,2011-12-31 00:00:00,2071.42,2,4142.84,Europe,2012
bikes,Mountain Bikes,"Mountain0300 Black, 38",France,2011-12-31 00:00:00,1079.99,1,1079.99,Europe,2012
bikes,Mountain Bikes,"Mountain0300 Black, 40",France,2011-12-31 00:00:00,1079.99,3,3239.97,Europe,2012
bikes,Mountain Bikes,"Mountain0300 Black, 44",France,2011-12-31 00:00:00,1079.99,5,5399.95,Europe,2012
bikes,Mountain Bikes,"Mountain0300 Black, 48",France,2011-12-31 00:00:00,1079.99,3,3239.97,Europe,2012
clothing,Tights,"Women's Tights, S",France,2011-12-31 00:00:00,74.99,1,74.99,Europe,2012
bikes,Road Bikes,"Road0250 Black, 48",France,2012-11-30 00:00:00,2181.56,1,2181.56,Europe,2013
clothing,Jerseys,"Long0Sleeve Logo Jersey, XL",United Kingdom,2012-11-30 00:00:00,48.07,1,48.07,Europe,2013
bikes,Road Bikes,"Road0650 Red, 60",United Kingdom,2012-11-30 00:00:00,782.99,2,1565.98,Europe,2013
clothing,Caps,AWC Logo Cap,United Kingdom,2012-11-30 00:00:00,8.64,5,43.2,Europe,2013
clothing,Gloves,"Half0Finger Gloves, M",United Kingdom,2012-11-30 00:00:00,23.55,4,94.2,Europe,2013
components,Wheels,HL Road Front Wheel,United Kingdom,2012-11-30 00:00:00,330.06,2,660.12,Europe,2013
components,Road Frames,"LL Road Frame 0 Black, 52",United Kingdom,2012-11-30 00:00:00,306.56,3,919.68,Europe,2013
components,Road Frames,"LL Road Frame 0 Red, 44",United Kingdom,2012-11-30 00:00:00,337.22,4,1348.88,Europe,2013
components,Road Frames,"LL Road Frame 0 Red, 60",United Kingdom,2012-11-30 00:00:00,337.22,1,337.22,Europe,2013
components,Wheels,LL Road Rear Wheel,United Kingdom,2012-11-30 00:00:00,112.57,3,337.71,Europe,2013
clothing,Jerseys,"Long0Sleeve Logo Jersey, L",United Kingdom,2012-11-30 00:00:00,48.07,3,144.21,Europe,2013
clothing,Bib0Shorts,"Men's Bib0Shorts, M",United Kingdom,2012-11-30 00:00:00,89.99,2,179.98,Europe,2013
clothing,Shorts,"Men's Sports Shorts, M",United Kingdom,2012-11-30 00:00:00,59.99,5,299.95,Europe,2013
accessories,Pumps,Minipump,United Kingdom,2012-11-30 00:00:00,19.99,2,39.98,Europe,2013
components,Road Frames,"ML Road Frame0W 0 Yellow, 44",United Kingdom,2012-11-30 00:00:00,540.75,5,2703.75,Europe,2013
components,Wheels,ML Road Front Wheel,United Kingdom,2012-11-30 00:00:00,248.38,1,248.38,Europe,2013
bikes,Road Bikes,"Road0250 Black, 44",United Kingdom,2012-11-30 00:00:00,2181.56,4,8726.24,Europe,2013
bikes,Road Bikes,"Road0250 Black, 48",United Kingdom,2012-11-30 00:00:00,2181.56,3,6544.68,Europe,2013
bikes,Road Bikes,"Road0250 Black, 52",United Kingdom,2012-11-30 00:00:00,2181.56,2,4363.12,Europe,2013
bikes,Road Bikes,"Road0250 Black, 58",United Kingdom,2012-11-30 00:00:00,2181.56,1,2181.56,Europe,2013
bikes,Road Bikes,"Road0250 Red, 44",United Kingdom,2012-11-30 00:00:00,2443.35,2,4886.7,Europe,2013
bikes,Road Bikes,"Road0250 Red, 52",United Kingdom,2012-11-30 00:00:00,2443.35,1,2443.35,Europe,2013
bikes,Road Bikes,"Road0250 Red, 58",United Kingdom,2012-11-30 00:00:00,2181.56,1,2181.56,Europe,2013
bikes,Road Bikes,"Road05500W Yellow, 38",United Kingdom,2012-11-30 00:00:00,1000.44,1,1000.44,Europe,2013
bikes,Road Bikes,"Road05500W Yellow, 40",United Kingdom,2012-11-30 00:00:00,1000.44,2,2000.88,Europe,2013
bikes,Road Bikes,"Road05500W Yellow, 42",United Kingdom,2012-11-30 00:00:00,1000.44,4,4001.76,Europe,2013
bikes,Road Bikes,"Road05500W Yellow, 48",United Kingdom,2012-11-30 00:00:00,1000.44,4,4001.76,Europe,2013
bikes,Road Bikes,"Road0650 Black, 44",United Kingdom,2012-11-30 00:00:00,782.99,2,1565.98,Europe,2013
bikes,Road Bikes,"Road0650 Black, 48",United Kingdom,2012-11-30 00:00:00,782.99,5,3914.95,Europe,2013
bikes,Road Bikes,"Road0650 Black, 58",United Kingdom,2012-11-30 00:00:00,782.99,2,1565.98,Europe,2013
bikes,Road Bikes,"Road0650 Black, 60",United Kingdom,2012-11-30 00:00:00,782.99,1,782.99,Europe,2013
bikes,Road Bikes,"Road0650 Black, 62",United Kingdom,2012-11-30 00:00:00,782.99,2,1565.98,Europe,2013
bikes,Road Bikes,"Road0650 Red, 44",United Kingdom,2012-11-30 00:00:00,782.99,5,3914.95,Europe,2013
bikes,Road Bikes,"Road0650 Red, 52",United Kingdom,2012-11-30 00:00:00,782.99,3,2348.97,Europe,2013
bikes,Road Bikes,"Road0650 Red, 58",United Kingdom,2012-11-30 00:00:00,782.99,2,1565.98,Europe,2013
bikes,Road Bikes,"Road0650 Red, 60",United Kingdom,2012-11-30 00:00:00,782.99,2,1565.98,Europe,2013
bikes,Road Bikes,"Road0650 Red, 62",United Kingdom,2012-11-30 00:00:00,782.99,3,2348.97,Europe,2013
accessories,Helmets,"Sport0100 Helmet, Black",United Kingdom,2012-11-30 00:00:00,33.64,4,134.56,Europe,2013
accessories,Helmets,"Sport0100 Helmet, Blue",United Kingdom,2012-11-30 00:00:00,33.64,4,134.56,Europe,2013
accessories,Helmets,"Sport0100 Helmet, Red",United Kingdom,2012-11-30 00:00:00,33.64,8,269.12,Europe,2013
clothing,Tights,"Women's Tights, L",United Kingdom,2012-11-30 00:00:00,74.99,6,449.94,Europe,2013
clothing,Tights,"Women's Tights, S",United Kingdom,2012-11-30 00:00:00,74.99,2,149.98,Europe,2013
clothing,Caps,AWC Logo Cap,United Kingdom,2012-11-30 00:00:00,8.64,4,34.56,Europe,2013
clothing,Gloves,"Full0Finger Gloves, L",United Kingdom,2012-11-30 00:00:00,37.99,6,227.94,Europe,2013
clothing,Gloves,"Full0Finger Gloves, M",United Kingdom,2012-11-30 00:00:00,37.99,4,151.96,Europe,2013
clothing,Gloves,"Full0Finger Gloves, S",United Kingdom,2012-11-30 00:00:00,37.99,2,75.98,Europe,2013
clothing,Gloves,"Half0Finger Gloves, M",United Kingdom,2012-11-30 00:00:00,23.55,5,117.75,Europe,2013
components,Wheels,HL Road Front Wheel,United Kingdom,2012-11-30 00:00:00,330.06,3,990.18,Europe,2013
components,Road Frames,"LL Road Frame 0 Black, 52",United Kingdom,2012-11-30 00:00:00,306.56,4,1226.24,Europe,2013
components,Road Frames,"LL Road Frame 0 Red, 44",United Kingdom,2012-11-30 00:00:00,337.22,3,1011.66,Europe,2013
components,Road Frames,"LL Road Frame 0 Red, 48",United Kingdom,2012-11-30 00:00:00,337.22,2,674.44,Europe,2013
components,Road Frames,"LL Road Frame 0 Red, 60",United Kingdom,2012-11-30 00:00:00,337.22,3,1011.66,Europe,2013
components,Wheels,LL Road Rear Wheel,United Kingdom,2012-11-30 00:00:00,112.57,1,112.57,Europe,2013
clothing,Jerseys,"Long0Sleeve Logo Jersey, L",United Kingdom,2012-11-30 00:00:00,48.07,3,144.21,Europe,2013
clothing,Jerseys,"Long0Sleeve Logo Jersey, M",United Kingdom,2012-11-30 00:00:00,48.07,1,48.07,Europe,2013
clothing,Bib0Shorts,"Men's Bib0Shorts, M",United Kingdom,2012-11-30 00:00:00,89.99,2,179.98,Europe,2013
clothing,Shorts,"Men's Sports Shorts, M",United Kingdom,2012-11-30 00:00:00,59.99,2,119.98,Europe,2013
accessories,Pumps,Minipump,United Kingdom,2012-11-30 00:00:00,19.99,5,99.95,Europe,2013
components,Road Frames,"ML Road Frame0W 0 Yellow, 38",United Kingdom,2012-11-30 00:00:00,540.75,3,1622.25,Europe,2013
components,Road Frames,"ML Road Frame0W 0 Yellow, 44",United Kingdom,2012-11-30 00:00:00,540.75,1,540.75,Europe,2013
components,Road Frames,"ML Road Frame0W 0 Yellow, 48",United Kingdom,2012-11-30 00:00:00,540.75,1,540.75,Europe,2013
bikes,Mountain Bikes,"Mountain0200 Black, 38",United Kingdom,2012-11-30 00:00:00,2049.1,1,2049.1,Europe,2013
bikes,Road Bikes,"Road0250 Black, 44",United Kingdom,2012-11-30 00:00:00,2181.56,2,4363.12,Europe,2013
bikes,Road Bikes,"Road0250 Black, 48",United Kingdom,2012-11-30 00:00:00,2181.56,1,2181.56,Europe,2013
bikes,Road Bikes,"Road0250 Black, 52",United Kingdom,2012-11-30 00:00:00,2181.56,2,4363.12,Europe,2013
bikes,Road Bikes,"Road0250 Black, 58",United Kingdom,2012-11-30 00:00:00,2181.56,5,10907.8,Europe,2013
bikes,Road Bikes,"Road0250 Red, 44",United Kingdom,2012-11-30 00:00:00,2443.35,1,2443.35,Europe,2013
bikes,Road Bikes,"Road0250 Red, 48",United Kingdom,2012-11-30 00:00:00,2443.35,3,7330.05,Europe,2013
bikes,Road Bikes,"Road0250 Red, 52",United Kingdom,2012-11-30 00:00:00,2443.35,2,4886.7,Europe,2013
bikes,Road Bikes,"Road0250 Red, 58",United Kingdom,2012-11-30 00:00:00,2181.56,2,4363.12,Europe,2013
bikes,Road Bikes,"Road05500W Yellow, 38",United Kingdom,2012-11-30 00:00:00,1000.44,4,4001.76,Europe,2013
bikes,Road Bikes,"Road05500W Yellow, 42",United Kingdom,2012-11-30 00:00:00,1000.44,2,2000.88,Europe,2013
bikes,Road Bikes,"Road05500W Yellow, 44",United Kingdom,2012-11-30 00:00:00,1000.44,5,5002.2,Europe,2013
bikes,Road Bikes,"Road0650 Black, 44",United Kingdom,2012-11-30 00:00:00,782.99,1,782.99,Europe,2013
bikes,Road Bikes,"Road0650 Black, 48",United Kingdom,2012-11-30 00:00:00,782.99,3,2348.97,Europe,2013
bikes,Road Bikes,"Road0650 Black, 52",United Kingdom,2012-11-30 00:00:00,782.99,4,3131.96,Europe,2013
bikes,Road Bikes,"Road0650 Black, 58",United Kingdom,2012-11-30 00:00:00,782.99,2,1565.98,Europe,2013
bikes,Road Bikes,"Road0650 Black, 60",United Kingdom,2012-11-30 00:00:00,782.99,2,1565.98,Europe,2013
bikes,Road Bikes,"Road0650 Black, 62",United Kingdom,2012-11-30 00:00:00,782.99,3,2348.97,Europe,2013
bikes,Road Bikes,"Road0650 Red, 44",United Kingdom,2012-11-30 00:00:00,782.99,3,2348.97,Europe,2013
bikes,Road Bikes,"Road0650 Red, 48",United Kingdom,2012-11-30 00:00:00,782.99,3,2348.97,Europe,2013
bikes,Road Bikes,"Road0650 Red, 58",United Kingdom,2012-11-30 00:00:00,782.99,1,782.99,Europe,2013
bikes,Road Bikes,"Road0650 Red, 60",United Kingdom,2012-11-30 00:00:00,782.99,4,3131.96,Europe,2013
bikes,Road Bikes,"Road0650 Red, 62",United Kingdom,2012-11-30 00:00:00,782.99,2,1565.98,Europe,2013
accessories,Helmets,"Sport0100 Helmet, Black",United Kingdom,2012-11-30 00:00:00,33.64,4,134.56,Europe,2013
accessories,Helmets,"Sport0100 Helmet, Blue",United Kingdom,2012-11-30 00:00:00,33.64,2,67.28,Europe,2013
accessories,Helmets,"Sport0100 Helmet, Red",United Kingdom,2012-11-30 00:00:00,33.64,4,134.56,Europe,2013
clothing,Tights,"Women's Tights, L",United Kingdom,2012-11-30 00:00:00,74.99,3,224.97,Europe,2013
clothing,Tights,"Women's Tights, S",United Kingdom,2012-11-30 00:00:00,74.99,4,299.96,Europe,2013
components,Road Frames,"HL Road Frame 0 Black, 44",Germany,2012-11-30 00:00:00,1431.5,1,1431.5,Europe,2013
components,Road Frames,"HL Road Frame 0 Red, 44",Germany,2012-11-30 00:00:00,1431.5,1,1431.5,Europe,2013
components,Road Frames,"HL Road Frame 0 Red, 62",Germany,2012-11-30 00:00:00,1431.5,1,1431.5,Europe,2013
components,Saddles,HL Road Seat/Saddle,Germany,2012-11-30 00:00:00,52.64,1,52.64,Europe,2013
components,Road Frames,"LL Road Frame 0 Black, 58",Germany,2012-11-30 00:00:00,337.22,2,674.44,Europe,2013
components,Handlebars,LL Road Handlebars,Germany,2012-11-30 00:00:00,44.54,1,44.54,Europe,2013
bikes,Road Bikes,"Road05500W Yellow, 40",Germany,2012-11-30 00:00:00,1120.49,1,1120.49,Europe,2013
clothing,Caps,AWC Logo Cap,France,2012-11-30 00:00:00,8.99,2,17.98,Europe,2013
clothing,Caps,AWC Logo Cap,Germany,2012-11-30 00:00:00,8.99,12,107.88,Europe,2013
accessories,Cleaners,Bike Wash 0 Dissolver,France,2012-11-30 00:00:00,7.95,5,39.75,Europe,2013
accessories,Cleaners,Bike Wash 0 Dissolver,Germany,2012-11-30 00:00:00,7.95,2,15.9,Europe,2013
components,Chains,Chain,United Kingdom,2012-11-30 00:00:00,20.24,2,40.48,Europe,2013
clothing,Vests,"Classic Vest, M",France,2012-11-30 00:00:00,63.5,3,190.5,Europe,2013
clothing,Vests,"Classic Vest, M",Germany,2012-11-30 00:00:00,63.5,18,1143,Europe,2013
clothing,Vests,"Classic Vest, S",France,2012-11-30 00:00:00,63.5,4,254,Europe,2013
clothing,Vests,"Classic Vest, S",Germany,2012-11-30 00:00:00,63.5,15,952.5,Europe,2013
components,Brakes,Front Brakes,France,2012-11-30 00:00:00,106.5,2,213,Europe,2013
components,Brakes,Front Brakes,United Kingdom,2012-11-30 00:00:00,106.5,3,319.5,Europe,2013
components,Derailleurs,Front Derailleur,France,2012-11-30 00:00:00,91.49,2,182.98,Europe,2013
components,Derailleurs,Front Derailleur,United Kingdom,2012-11-30 00:00:00,91.49,2,182.98,Europe,2013
clothing,Gloves,"Half0Finger Gloves, L",Germany,2012-11-30 00:00:00,24.49,4,97.96,Europe,2013
clothing,Gloves,"Half0Finger Gloves, M",France,2012-11-30 00:00:00,24.49,1,24.49,Europe,2013
clothing,Gloves,"Half0Finger Gloves, M",Germany,2012-11-30 00:00:00,24.49,2,48.98,Europe,2013
clothing,Gloves,"Half0Finger Gloves, S",Germany,2012-11-30 00:00:00,24.49,11,269.39,Europe,2013
accessories,Bike Racks,Hitch Rack 0 40Bike,France,2012-11-30 00:00:00,120,9,1080,Europe,2013
accessories,Bike Racks,Hitch Rack 0 40Bike,Germany,2012-11-30 00:00:00,120,16,1920,Europe,2013
components,Bottom Brackets,HL Bottom Bracket,United Kingdom,2012-11-30 00:00:00,121.49,1,121.49,Europe,2013
components,Cranksets,HL Crankset,United Kingdom,2012-11-30 00:00:00,404.99,2,809.98,Europe,2013
components,Pedals,HL Road Pedal,France,2012-11-30 00:00:00,80.99,1,80.99,Europe,2013
components,Touring Frames,"HL Touring Frame 0 Blue, 50",Germany,2012-11-30 00:00:00,1003.91,1,1003.91,Europe,2013
components,Touring Frames,"HL Touring Frame 0 Blue, 54",France,2012-11-30 00:00:00,1003.91,3,3011.73,Europe,2013
components,Touring Frames,"HL Touring Frame 0 Blue, 54",Germany,2012-11-30 00:00:00,1003.91,10,10039.1,Europe,2013
components,Touring Frames,"HL Touring Frame 0 Blue, 54",United Kingdom,2012-11-30 00:00:00,1003.91,2,2007.82,Europe,2013
components,Touring Frames,"HL Touring Frame 0 Blue, 60",Germany,2012-11-30 00:00:00,1003.91,2,2007.82,Europe,2013
components,Touring Frames,"HL Touring Frame 0 Yellow, 46",Germany,2012-11-30 00:00:00,1003.91,3,3011.73,Europe,2013
components,Touring Frames,"HL Touring Frame 0 Yellow, 50",Germany,2012-11-30 00:00:00,1003.91,1,1003.91,Europe,2013
components,Touring Frames,"HL Touring Frame 0 Yellow, 54",France,2012-11-30 00:00:00,1003.91,2,2007.82,Europe,2013
components,Touring Frames,"HL Touring Frame 0 Yellow, 54",Germany,2012-11-30 00:00:00,1003.91,3,3011.73,Europe,2013
components,Touring Frames,"HL Touring Frame 0 Yellow, 54",United Kingdom,2012-11-30 00:00:00,1003.91,1,1003.91,Europe,2013
